layer,x,y,visual_label,behavior,parameter,modifiers,purpose,usage_notes,source
0,0,0,Esc,Key Press,Escape,,Base typing key for the main work layout.,Sends Escape.,canonical (base key)
0,1,0,1,Key Press,1 and Bang,,Base typing key for the main work layout.,Sends 1 and Bang.,canonical (base key)
0,2,0,2,Key Press,2 and At,,Base typing key for the main work layout.,Sends 2 and At.,canonical (base key)
0,3,0,3,Key Press,3 and Hash,,Base typing key for the main work layout.,Sends 3 and Hash.,canonical (base key)
0,4,0,4,Key Press,4 and Dollar,,Base typing key for the main work layout.,Sends 4 and Dollar.,canonical (base key)
0,5,0,5,Key Press,5 and Percent,,Base typing key for the main work layout.,Sends 5 and Percent.,canonical (base key)
0,7,0,6,Key Press,6 and Caret,,Base typing key for the main work layout.,Sends 6 and Caret.,canonical (base key)
0,8,0,7,Key Press,7 and Ampersand,,Base typing key for the main work layout.,Sends 7 and Ampersand.,canonical (base key)
0,9,0,8,Key Press,8 and Star,,Base typing key for the main work layout.,Sends 8 and Star.,canonical (base key)
0,10,0,9,Key Press,9 and Left Bracket,,Base typing key for the main work layout.,Sends 9 and Left Bracket.,canonical (base key)
0,11,0,0,Key Press,0 and Right Bracket,,Base typing key for the main work layout.,Sends 0 and Right Bracket.,canonical (base key)
0,12,0,BkSp,Key Press,Delete,,Base typing key for the main work layout.,Sends Delete.,canonical (base key)
0,0,1,Tab,Key Press,Tab,,Base typing key for the main work layout.,Sends Tab.,canonical (base key)
0,1,1,Q,Key Press,Q,,Base typing key for the main work layout.,Sends Q.,canonical (base key)
0,2,1,W,Key Press,W,,Base typing key for the main work layout.,Sends W.,canonical (base key)
0,3,1,E,Key Press,E,,Base typing key for the main work layout.,Sends E.,canonical (base key)
0,4,1,R,Key Press,R,,Base typing key for the main work layout.,Sends R.,canonical (base key)
0,5,1,T,Key Press,T,,Base typing key for the main work layout.,Sends T.,canonical (base key)
0,7,1,Y,Key Press,Y,,Base typing key for the main work layout.,Sends Y.,canonical (base key)
0,8,1,U,Key Press,U,,Base typing key for the main work layout.,Sends U.,canonical (base key)
0,9,1,I,Key Press,I,,Base typing key for the main work layout.,Sends I.,canonical (base key)
0,10,1,O,Key Press,O,,Base typing key for the main work layout.,Sends O.,canonical (base key)
0,11,1,P,Key Press,P,,Base typing key for the main work layout.,Sends P.,canonical (base key)
0,12,1,å,Key Press,Left Brace,,"Norwegian å. Sends the [ scancode (ZMK Studio name 'Left Brace', same key as Layer 1 x9 y3) = å on Norwegian Windows. Label is for the coach only.",Sends the [ scancode = å on Norwegian Windows layout (= [ on US).,canonical (base key)
0,0,2,Shft,Key Press,LeftShift,,Base typing key for the main work layout.,Sends LeftShift.,canonical (base key)
0,1,2,A,Key Press,A,,Base typing key for the main work layout.,Sends A.,canonical (base key)
0,2,2,S,Key Press,S,,Base typing key for the main work layout.,Sends S.,canonical (base key)
0,3,2,D,Key Press,D,,Base typing key for the main work layout.,Sends D.,canonical (base key)
0,4,2,F,Key Press,F,,Base typing key for the main work layout.,Sends F.,canonical (base key)
0,5,2,G,Key Press,G,,Base typing key for the main work layout.,Sends G.,canonical (base key)
0,7,2,H,Key Press,H,,Base typing key for the main work layout.,Sends H.,canonical (base key)
0,8,2,J,Key Press,J,,Base typing key for the main work layout.,Sends J.,canonical (base key)
0,9,2,K,Key Press,K,,Base typing key for the main work layout.,Sends K.,canonical (base key)
0,10,2,L,Key Press,L,,Base typing key for the main work layout.,Sends L.,canonical (base key)
0,11,2,ø,Key Press,SemiColon and Colon,,Norwegian ø. Keycode is unchanged (SemiColon scancode); Windows Norwegian layout renders it as ø. Label is for the coach only.,Sends SemiColon scancode = ø on Norwegian Windows layout (= ; on US).,canonical (base key)
0,12,2,æ,Key Press,Left Apos and Double,,Norwegian æ. Keycode is unchanged (Apostrophe/Quote scancode); Windows Norwegian layout renders it as æ. Label is for the coach only.,Sends Apostrophe scancode = æ on Norwegian Windows layout (= ' on US).,canonical (base key)
0,0,3,Ctrl,Key Press,LeftControl,,Base typing key for the main work layout.,Sends LeftControl.,canonical (base key)
0,1,3,Z,Key Press,Z,,Base typing key for the main work layout.,Sends Z.,canonical (base key)
0,2,3,X,Key Press,X,,Base typing key for the main work layout.,Sends X.,canonical (base key)
0,3,3,C,Key Press,C,,Base typing key for the main work layout.,Sends C.,canonical (base key)
0,4,3,V,Key Press,V,,Base typing key for the main work layout.,Sends V.,canonical (base key)
0,5,3,B,Key Press,B,,Base typing key for the main work layout.,Sends B.,canonical (base key)
0,7,3,N,Key Press,N,,Base typing key for the main work layout.,Sends N.,canonical (base key)
0,8,3,M,Key Press,M,,Base typing key for the main work layout.,Sends M.,canonical (base key)
0,9,3,",",Key Press,Comma and LessThan,,Base typing key for the main work layout.,Sends Comma and LessThan.,canonical (base key)
0,10,3,.,Key Press,Period and GreaterThan,,CRITICAL v1.9: Period must be on base layer for typing flow. Moves [ to Layer 1.,Sends Period.,canonical (base key)
