layer,layer_role,x,y,visual_label,behavior,parameter,modifiers,purpose,usage_notes
0,Base typing and thumb access,0,0,esc,Key Press,Escape,,Base typing key for the main work layout.,Sends Escape.
0,Base typing and thumb access,1,0,1,Key Press,1 and Bang,,Base typing key for the main work layout.,Sends 1 and Bang.
0,Base typing and thumb access,2,0,2,Key Press,2 and At,,Base typing key for the main work layout.,Sends 2 and At.
0,Base typing and thumb access,3,0,3,Key Press,3 and Hash,,Base typing key for the main work layout.,Sends 3 and Hash.
0,Base typing and thumb access,4,0,4,Key Press,4 and Dollar,,Base typing key for the main work layout.,Sends 4 and Dollar.
0,Base typing and thumb access,5,0,5,Key Press,5 and Percent,,Base typing key for the main work layout.,Sends 5 and Percent.
0,Base typing and thumb access,7,0,6,Key Press,6 and Caret,,Base typing key for the main work layout.,Sends 6 and Caret.
0,Base typing and thumb access,8,0,7,Key Press,7 and Ampersand,,Base typing key for the main work layout.,Sends 7 and Ampersand.
0,Base typing and thumb access,9,0,8,Key Press,8 and Star,,Base typing key for the main work layout.,Sends 8 and Star.
0,Base typing and thumb access,10,0,9,Key Press,9 and Left Bracket,,Base typing key for the main work layout.,Sends 9 and Left Bracket.
0,Base typing and thumb access,11,0,0,Key Press,0 and Right Bracket,,Base typing key for the main work layout.,Sends 0 and Right Bracket.
0,Base typing and thumb access,12,0,bksp,Key Press,Delete,,Base typing key for the main work layout.,Sends Delete.
0,Base typing and thumb access,0,1,tab,Key Press,Tab,,Base typing key for the main work layout.,Sends Tab.
0,Base typing and thumb access,1,1,q,Key Press,Q,,Base typing key for the main work layout.,Sends Q.
0,Base typing and thumb access,2,1,w,Key Press,W,,Base typing key for the main work layout.,Sends W.
0,Base typing and thumb access,3,1,e,Key Press,E,,Base typing key for the main work layout.,Sends E.
0,Base typing and thumb access,4,1,r,Key Press,R,,Base typing key for the main work layout.,Sends R.
0,Base typing and thumb access,5,1,t,Key Press,T,,Base typing key for the main work layout.,Sends T.
0,Base typing and thumb access,7,1,y,Key Press,Y,,Base typing key for the main work layout.,Sends Y.
0,Base typing and thumb access,8,1,u,Key Press,U,,Base typing key for the main work layout.,Sends U.
0,Base typing and thumb access,9,1,i,Key Press,I,,Base typing key for the main work layout.,Sends I.
0,Base typing and thumb access,10,1,o,Key Press,O,,Base typing key for the main work layout.,Sends O.
0,Base typing and thumb access,11,1,p,Key Press,P,,Base typing key for the main work layout.,Sends P.
0,Base typing and thumb access,12,1,å,Key Press,Left Brace,,"Norwegian å. Sends the [ scancode (ZMK Studio name 'Left Brace', same key as Layer 1 x9 y3) = å on Norwegian Windows. Label is for the coach only.",Sends the [ scancode = å on Norwegian Windows layout (= [ on US).
0,Base typing and thumb access,0,2,shft,Key Press,LeftShift,,Base typing key for the main work layout.,Sends LeftShift.
0,Base typing and thumb access,1,2,a,Key Press,A,,Base typing key for the main work layout.,Sends A.
0,Base typing and thumb access,2,2,s,Key Press,S,,Base typing key for the main work layout.,Sends S.
0,Base typing and thumb access,3,2,d,Key Press,D,,Base typing key for the main work layout.,Sends D.
0,Base typing and thumb access,4,2,f,Key Press,F,,Base typing key for the main work layout.,Sends F.
0,Base typing and thumb access,5,2,g,Key Press,G,,Base typing key for the main work layout.,Sends G.
0,Base typing and thumb access,7,2,h,Key Press,H,,Base typing key for the main work layout.,Sends H.
0,Base typing and thumb access,8,2,j,Key Press,J,,Base typing key for the main work layout.,Sends J.
0,Base typing and thumb access,9,2,k,Key Press,K,,Base typing key for the main work layout.,Sends K.
0,Base typing and thumb access,10,2,l,Key Press,L,,Base typing key for the main work layout.,Sends L.
0,Base typing and thumb access,11,2,ø,Key Press,SemiColon and Colon,,Norwegian ø. Keycode is unchanged (SemiColon scancode); Windows Norwegian layout renders it as ø. Label is for the coach only.,Sends SemiColon scancode = ø on Norwegian Windows layout (= ; on US).
0,Base typing and thumb access,12,2,æ,Key Press,Left Apos and Double,,Norwegian æ. Keycode is unchanged (Apostrophe/Quote scancode); Windows Norwegian layout renders it as æ. Label is for the coach only.,Sends Apostrophe scancode = æ on Norwegian Windows layout (= ' on US).
0,Base typing and thumb access,0,3,ctrl,Key Press,LeftControl,,Base typing key for the main work layout.,Sends LeftControl.
0,Base typing and thumb access,1,3,z,Key Press,Z,,Base typing key for the main work layout.,Sends Z.
0,Base typing and thumb access,2,3,x,Key Press,X,,Base typing key for the main work layout.,Sends X.
0,Base typing and thumb access,3,3,c,Key Press,C,,Base typing key for the main work layout.,Sends C.
0,Base typing and thumb access,4,3,v,Key Press,V,,Base typing key for the main work layout.,Sends V.
0,Base typing and thumb access,5,3,b,Key Press,B,,Base typing key for the main work layout.,Sends B.
0,Base typing and thumb access,7,3,n,Key Press,N,,Base typing key for the main work layout.,Sends N.
0,Base typing and thumb access,8,3,m,Key Press,M,,Base typing key for the main work layout.,Sends M.
0,Base typing and thumb access,9,3,",",Key Press,Comma and LessThan,,Base typing key for the main work layout.,Sends Comma and LessThan.
0,Base typing and thumb access,10,3,.,Key Press,Period and GreaterThan,,CRITICAL v1.9: Period must be on base layer for typing flow. Moves [ to Layer 1.,Sends Period.
0,Base typing and thumb access,11,3,/,Key Press,ForwardSlash and QuestionMark,,Base typing key for the main work layout.,Sends ForwardSlash and QuestionMark.
0,Base typing and thumb access,12,3,\,Key Press,Backslash and Pipe,,"International backslash/pipe (US HID). On Norwegian Windows this key is layout-dependent (often |); not English apostrophe — use Win+Space to US English for ' in contractions, or type ø/æ on their base positions.",Sends Backslash and Pipe scancode.
0,Base typing and thumb access,3,4,nav,coach_l1_hold,,,Hold Nav for layer 1 navigation/editing.,Coach beacon: momentary layer 1 + BLE hold signal (Ctrl+Alt+Shift+F13/F14).
0,Base typing and thumb access,4,4,␣,Key Press,Spacebar,,"Thumb/control key for typing, layer access, mouse access, or Enter.",Sends Spacebar.
0,Base typing and thumb access,5.0,4.0,ctrl+shift+c,Key Press,Keyboard C,L Ctrl+L Shift,Inspect element,"App: Browser (Chrome/Edge), importance=5.699999999999999"
0,Base typing and thumb access,7,4,system,coach_l4_hold,,,Hold System for layer 4 Bluetooth/output/helpers.,Coach beacon: momentary layer 4 + BLE hold signal (Ctrl+Alt+Shift+F19/F20).
0,Base typing and thumb access,8,4,window,coach_l3_hold,,,Hold Window for layer 3 window/app/desktop control.,Coach beacon: momentary layer 3 + BLE hold signal (Ctrl+Alt+Shift+F17/F18).
0,Base typing and thumb access,4.0,5.0,page down,Key Press,Keyboard Page Down,,Next slide,"App: Microsoft PowerPoint, importance=1.2000000000000002"
0,Base typing and thumb access,5.0,5.0,r,Key Press,Keyboard r,,Reload page,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
0,Base typing and thumb access,7,5,ret,Key Press,Return Enter,,"Thumb/control key for typing, layer access, mouse access, or Enter.",Sends Return Enter.
