layer,x,y,visual_label,behavior,parameter,modifiers,purpose,usage_notes,source
0,0,0,_base_escape,Key Press,_base_escape,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,1,0,_base_1,Key Press,_base_1,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,2,0,_base_2,Key Press,_base_2,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,3,0,_base_3,Key Press,_base_3,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,4,0,_base_4,Key Press,_base_4,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,5,0,_base_5,Key Press,_base_5,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,7,0,_base_6,Key Press,_base_6,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,8,0,_base_7,Key Press,_base_7,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,9,0,_base_8,Key Press,_base_8,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,10,0,_base_9,Key Press,_base_9,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,11,0,_base_0,Key Press,_base_0,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,12,0,_base_delete,Key Press,_base_delete,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,0,1,_base_tab,Key Press,_base_tab,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,1,1,_base_q,Key Press,_base_q,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,2,1,_base_w,Key Press,_base_w,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,3,1,_base_e,Key Press,_base_e,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
0,4,1,_base_r,Key Press,_base_r,,Base typing key for the permanent L0 layout.,"App: Base, importance=0.0",evolved
